,date,spy_close,1_y_return,return_by_05-05-2022
0,2010-05-07,1111,24%,374%
1,2010-05-09,,24%,374%
2,2010-06-04,1065,23%,393%
3,2011-08-04,1200,19%,328%
4,2011-08-07,1199,19%,328%
5,2011-08-08,1119,28%,359%
6,2011-08-09,1173,22%,338%
7,2011-08-10,1122,28%,358%
8,2011-08-11,1173,22%,338%
9,2011-08-12,1179,22%,335%
10,2011-08-14,1179,22%,335%
11,2011-08-18,1141,27%,350%
12,2011-09-22,1130,32%,353%
13,2012-06-03,1278,30%,294%
14,2015-08-23,1971,13%,139%
15,2015-08-24,1893,18%,149%
16,2015-08-25,1863,19%,152%
17,2015-08-26,1941,14%,142%
18,2015-09-01,1914,16%,146%
19,2016-01-18,1880,24%,148%
20,2016-05-06,1128,21%,367%
21,2018-02-05,2649,,69%
22,2018-02-08,2581,9%,73%
23,2018-10-11,2728,11%,62%
24,2018-10-24,2656,16%,66%
25,2018-12-27,2489,32%,76%
26,2019-08-05,2845,16%,53%
27,2019-08-14,2842,21%,53%
28,2020-02-24,3226,24%,33%
29,2020-02-25,3128,25%,37%
30,2020-02-26,3116,25%,38%
31,2020-02-27,2979,33%,44%
32,2020-03-05,3024,29%,42%
33,2020-03-06,2972,33%,44%
34,2020-03-08,2972,33%,44%
35,2020-03-09,2787,44%,56%
36,2020-03-10,2882,39%,49%
37,2020-03-11,2741,46%,56%
38,2020-03-12,2481,63%,73%
39,2020-03-13,2711,49%,58%
40,2020-03-15,2711,49%,58%
41,2020-03-16,2386,69%,80%
42,2020-03-17,2529,58%,69%
43,2020-03-18,2398,66%,79%
44,2020-03-19,2409,66%,78%
45,2020-03-20,2305,73%,86%
46,2020-03-23,2237,,91%
47,2020-03-24,2447,63%,75%
48,2020-03-25,2476,63%,73%
49,2020-03-26,2630,54%,63%
50,2020-03-27,2541,58%,69%
51,2020-03-30,2627,54%,63%
52,2020-03-31,2585,58%,66%
53,2020-04-01,2471,68%,73%
54,2020-04-02,2527,64%,69%
55,2020-04-03,2489,67%,72%
56,2020-04-06,2664,56%,61%
57,2020-04-07,2659,58%,61%
58,2020-04-08,2750,53%,56%
59,2020-04-09,2790,51%,53%
60,2020-04-10,2790,51%,53%
61,2020-04-13,2762,52%,55%
62,2020-04-14,2846,49%,50%
63,2020-04-15,2783,53%,
64,2020-04-23,2798,52%,53%
65,2020-04-24,2837,50%,51%
66,2020-04-27,2878,48%,49%
67,2020-04-28,2863,50%,49%
68,2020-04-29,2940,45%,45%
69,2020-04-30,2912,46%,47%
70,2020-05-01,2831,50%,52%
71,2020-05-04,2843,49%,50%
72,2020-05-05,2868,49%,49%
73,2020-05-06,2848,,51%
74,2020-05-07,2881,48%,48%
75,2020-05-08,2930,44%,46%
76,2020-05-11,2930,41%,46%
77,2020-05-12,2870,46%,49%
78,2020-05-13,2820,50%,52%
79,2020-05-14,2853,48%,50%
80,2020-05-15,2864,47%,49%
81,2020-05-18,2954,42%,45%
82,2020-05-19,2923,45%,46%
83,2020-05-20,2972,42%,
84,2020-05-21,2949,45%,45%
85,2020-05-22,2955,44%,
86,2020-05-25,2955,44%,44%
87,2020-05-26,2992,43%,43%
88,2020-05-27,3036,41%,41%
89,2020-05-28,3030,41%,41%
90,2020-05-29,3044,40%,40%
91,2020-06-01,3056,40%,40%
92,2020-06-02,3081,38%,38%
93,2020-06-03,3123,38%,37%
94,2020-06-04,3112,38%,37%
